site,habitat,region,status,sp.1,sp.2,sp.3,sp.4,sp.5,sp.6,sp.7,sp.8,sp.9,sp.10,sp.11,sp.12,sp.13,sp.14,sp.15,sp.16,sp.17,sp.18,sp.19,sp.20,sp.21,sp.22,sp.23,sp.24,sp.25,sp.26,sp.27,sp.28,sp.29,sp.30
1,grassland,WY,unprotected,0,1,6,4,0,0,10,0,0,2,0,1,6,4,2,0,10,0,0,2,0,0,0,0,0,3,0,0,0,0
2,grassland,ND,unprotected,3,5,3,3,3,3,3,3,3,3,3,5,3,4,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0
3,grassland,WY,unprotected,3,3,4,9,3,3,3,3,6,3,3,3,4,9,5,4,3,3,6,3,0,0,0,0,0,0,1,0,0,0
4,grassland,ND,unprotected,2,2,2,2,2,2,2,2,2,3,2,2,16,2,2,2,3,2,2,3,0,0,0,0,0,1,0,1,0,0
5,grassland,ND,unprotected,3,4,3,3,3,3,3,3,3,3,3,6,3,4,3,3,3,3,3,3,0,0,0,0,0,5,0,2,0,0
6,grassland,ND,unprotected,3,5,3,16,3,3,3,3,3,3,3,5,3,17,3,3,3,3,3,3,0,0,0,0,0,1,0,0,3,0
7,grassland,WY,unprotected,0,0,0,0,0,5,0,0,3,0,0,3,0,0,0,6,1,1,3,0,0,0,0,0,0,0,0,0,0,7
8,grassland,WY,unprotected,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,1
9,grassland,ND,unprotected,1,2,1,1,1,4,2,1,1,4,1,2,1,1,1,4,2,1,3,4,0,0,0,0,0,0,0,2,0,1
10,grassland,ND,unprotected,4,4,4,6,5,4,4,4,4,4,4,4,9,6,5,4,4,4,4,4,0,0,0,0,0,2,0,0,0,1
11,grassland,SD,unprotected,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,1,1,0,15
12,grassland,SD,protected,1,1,1,14,1,1,2,1,1,2,2,1,1,30,1,1,2,1,1,2,0,0,0,0,0,1,1,3,1,1
13,grassland,ND,unprotected,1,3,1,1,1,1,1,5,6,3,1,3,1,1,1,2,2,5,7,4,0,0,0,0,0,1,0,2,2,0
14,grassland,WY,protected,5,1,1,5,1,1,1,1,3,1,5,1,1,8,1,2,1,1,3,1,0,0,0,0,0,0,0,1,0,0
15,grassland,WY,unprotected,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,27,1,0,0,0,0,0,4,0,0,0,1
16,grassland,ND,unprotected,2,3,3,2,2,2,2,5,2,2,3,3,4,2,2,2,2,5,3,2,0,0,0,0,0,0,1,0,1,0
17,grassland,ND,unprotected,2,3,7,2,2,2,2,2,3,2,2,4,7,2,2,2,2,4,3,2,0,0,0,0,0,0,0,1,3,1
18,grassland,ND,unprotected,1,1,1,1,4,3,1,1,1,1,1,1,1,1,4,3,1,1,1,1,0,0,0,0,0,0,2,0,3,2
19,grassland,ND,unprotected,5,5,5,5,5,5,6,9,6,5,5,5,5,5,5,5,8,9,6,5,0,0,0,0,0,1,1,0,1,0
20,grassland,SD,protected,1,1,1,1,1,2,1,1,1,1,1,38,1,1,2,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0
21,grassland,WY,unprotected,4,4,5,4,7,4,4,4,4,4,4,4,5,5,7,4,4,5,4,4,0,0,0,0,0,0,11,1,0,0
22,grassland,SD,unprotected,1,1,1,26,1,2,1,1,2,1,1,2,1,26,1,3,2,1,2,1,0,0,0,0,0,0,0,0,1,2
23,grassland,ND,unprotected,1,1,5,5,1,1,1,1,5,2,1,2,5,9,1,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0
24,grassland,WY,unprotected,0,1,1,12,0,0,0,0,0,0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1
25,grassland,ND,unprotected,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0,0,0,0,0,1,1,1,0,0
26,grassland,SD,unprotected,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,3,6,3,2,0,0,0,0,0,14,1,0,1,0
27,grassland,ND,unprotected,7,15,7,7,12,7,7,7,7,8,7,15,7,8,12,7,7,12,7,8,0,0,0,0,0,2,2,0,1,0
28,grassland,MT,unprotected,0,1,3,0,0,0,1,0,0,0,0,1,3,1,0,3,1,0,0,0,0,0,0,0,0,3,0,0,1,0
29,grassland,WY,unprotected,2,2,2,2,2,2,2,8,3,2,2,2,2,2,2,2,4,8,3,2,0,0,0,0,0,1,5,0,0,0
30,grassland,MT,unprotected,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
31,grassland,WY,unprotected,4,1,2,1,2,3,1,1,1,1,5,30,2,1,3,3,1,1,3,1,0,0,0,0,0,0,5,1,7,5
32,grassland,MT,unprotected,2,2,2,3,3,2,3,2,2,2,2,2,2,3,4,3,3,2,2,2,0,0,0,0,0,0,2,0,1,1
33,grassland,SD,unprotected,3,3,3,6,3,4,3,4,3,5,3,3,3,6,3,4,3,17,3,5,0,0,0,0,0,0,0,0,5,1
34,grassland,WY,protected,2,2,3,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,4,2,0,0,0,0,0,0,5,1,0,0
35,grassland,ND,unprotected,3,8,3,3,3,3,3,3,7,4,3,8,3,4,3,6,3,4,7,4,0,0,0,0,0,0,0,0,0,0
36,grassland,WY,unprotected,3,4,3,3,3,3,3,3,5,3,5,5,3,3,3,3,3,7,6,3,0,0,0,0,0,1,0,0,2,0
37,grassland,WY,protected,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,1,1,0,0,0,0,0,0,0,1,3,0
38,grassland,ND,unprotected,1,0,0,0,1,29,0,0,11,0,1,0,0,1,3,29,0,0,11,1,0,0,0,0,0,3,1,0,0,0
39,grassland,ND,protected,1,1,1,2,2,1,4,6,1,1,2,7,1,2,2,1,4,7,2,3,0,0,0,0,0,0,0,0,7,1
40,grassland,WY,unprotected,1,1,1,2,1,3,2,3,1,1,1,1,1,2,1,7,2,3,1,1,0,0,0,0,0,0,0,2,0,1
41,grassland,WY,unprotected,17,22,17,20,17,17,17,17,17,17,17,22,21,20,17,17,17,17,18,18,0,0,0,0,0,0,1,0,1,11
42,grassland,WY,unprotected,31,4,4,11,4,4,7,8,4,4,31,5,5,12,4,7,7,8,4,5,0,0,0,0,0,0,1,1,0,1
43,grassland,SD,unprotected,4,3,3,3,3,12,3,3,3,3,4,3,3,3,17,12,3,3,3,3,0,0,0,0,0,1,2,1,0,0
44,grassland,MT,protected,1,1,1,3,1,1,1,1,1,4,1,1,1,9,2,1,1,1,1,9,0,0,0,0,0,1,0,0,0,1
45,grassland,WY,unprotected,13,13,13,13,13,13,13,13,13,20,13,13,13,17,13,13,23,13,13,21,0,0,0,0,0,1,4,0,0,0
46,grassland,SD,unprotected,2,2,2,2,3,2,2,2,2,2,2,2,4,3,4,3,3,2,3,2,0,0,0,0,0,0,4,1,0,0
47,grassland,ND,protected,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0
48,grassland,SD,unprotected,3,2,2,5,2,3,2,2,2,2,3,2,2,5,2,3,2,3,2,2,0,0,0,0,0,3,2,1,0,0
49,grassland,SD,unprotected,1,6,1,1,6,2,1,1,1,2,1,6,2,1,6,2,1,1,1,2,0,0,0,0,0,8,1,0,0,1
50,grassland,ND,unprotected,1,0,8,1,2,0,0,0,1,0,1,0,8,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
51,forest,ND,protected,2,1,4,0,0,0,0,1,0,0,2,1,4,0,1,0,0,1,1,0,0,0,0,0,0,4,1,1,1,1
52,forest,SD,unprotected,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,2,2,2,2,2
53,forest,ND,unprotected,0,10,1,4,3,0,0,0,0,3,1,10,1,5,4,1,0,0,0,3,0,0,0,0,0,3,4,3,3,3
54,forest,ND,unprotected,0,0,0,0,1,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3
55,forest,ND,unprotected,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,4,2,2
56,forest,MT,unprotected,0,0,44,1,0,3,1,0,0,1,7,3,45,1,0,3,1,0,0,2,0,0,0,0,0,4,3,3,6,3
57,forest,ND,unprotected,3,0,0,0,2,0,1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,3,3,3,10
58,forest,SD,unprotected,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,8,4,4,4,5
59,forest,ND,unprotected,1,0,0,0,0,0,0,0,0,0,1,1,6,0,4,0,0,2,0,0,0,0,0,0,0,2,2,4,2,3
60,forest,MT,protected,0,0,0,1,1,0,0,0,0,0,3,0,0,1,1,2,0,1,0,1,0,0,0,0,0,4,2,2,2,3
61,forest,WY,protected,1,0,0,0,3,5,0,0,0,0,1,0,0,0,3,5,0,2,0,0,0,0,0,0,0,5,5,5,4,19
62,forest,MT,protected,2,0,0,0,0,0,1,0,0,1,2,7,0,0,0,1,1,0,2,1,0,0,0,0,0,4,4,6,4,4
63,forest,SD,unprotected,0,0,5,0,0,0,0,0,0,0,0,3,5,3,1,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1
64,forest,SD,protected,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,1,2,1,1
65,forest,WY,unprotected,0,2,0,0,0,0,3,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,5,1,1,1,2
66,forest,SD,unprotected,0,6,0,1,2,1,1,0,0,1,0,6,0,1,2,3,1,0,0,1,0,0,0,0,0,2,3,2,3,2
67,forest,SD,unprotected,0,1,0,3,0,0,9,0,0,1,2,1,0,3,2,0,12,3,0,1,0,0,0,0,0,6,6,7,9,7
68,forest,ND,protected,0,7,0,1,0,0,2,0,0,1,0,7,0,14,0,1,2,1,0,1,0,0,0,0,0,1,3,1,4,3
69,forest,WY,protected,0,0,0,2,1,0,0,0,0,0,4,0,0,2,1,0,0,4,0,0,0,0,0,0,0,2,2,1,2,1
70,forest,ND,unprotected,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,2,2,2,2
71,forest,WY,protected,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,12,2,1,1
72,forest,WY,unprotected,0,0,0,0,3,3,1,0,0,0,0,0,0,0,10,3,1,0,0,1,0,0,0,0,0,0,0,0,1,2
73,forest,ND,protected,0,0,0,0,0,7,0,1,0,0,0,0,0,1,1,7,0,1,0,0,0,0,0,0,0,4,4,4,4,4
74,forest,ND,unprotected,0,3,2,0,1,0,1,0,1,0,0,8,2,0,9,0,1,0,1,3,0,0,0,0,0,5,2,1,2,2
75,forest,WY,unprotected,1,0,3,10,0,1,0,0,0,0,1,0,10,10,0,5,0,2,0,0,0,0,0,0,0,2,2,2,1,1
76,forest,WY,unprotected,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,2,5,0,0,0,0,0,15,2,1,2,1
77,forest,SD,unprotected,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,2,3,2
78,forest,ND,unprotected,5,4,0,1,0,0,0,1,5,0,5,4,0,1,0,0,0,1,5,0,0,0,0,0,0,5,2,2,3,2
79,forest,ND,unprotected,0,0,0,1,1,1,0,0,8,0,9,1,0,3,1,1,1,0,8,1,0,0,0,0,0,5,9,4,4,4
80,forest,ND,unprotected,0,0,0,7,0,0,0,0,0,1,5,0,0,7,0,0,0,0,0,1,0,0,0,0,0,6,5,4,5,4
81,forest,ND,unprotected,0,0,3,0,0,1,2,4,0,1,0,1,3,0,2,2,2,4,0,1,0,0,0,0,0,1,6,2,8,6
82,forest,MT,protected,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,2,3,3
83,forest,ND,unprotected,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,2,2,2,7,3
84,forest,ND,unprotected,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,8,4,3,3
85,forest,ND,unprotected,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,5,5,5,5,5
86,forest,ND,protected,1,2,0,0,0,0,14,0,0,0,2,2,0,0,0,1,14,0,0,0,0,0,0,0,0,6,5,5,7,5
87,forest,SD,unprotected,0,0,0,0,3,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,2,2,3,5,2
88,forest,SD,unprotected,0,0,1,0,0,0,5,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,5,3,2,2,2
89,forest,WY,unprotected,0,1,16,0,0,1,0,0,0,0,0,1,16,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,2
90,forest,ND,unprotected,1,0,6,0,5,0,0,2,0,0,1,0,6,0,5,0,0,2,7,0,0,0,0,0,0,1,1,3,1,2
91,forest,WY,unprotected,0,0,0,1,0,8,0,0,3,0,0,0,0,1,0,8,3,1,3,0,0,0,0,0,0,5,6,5,6,16
92,forest,MT,unprotected,39,0,0,0,0,0,0,1,0,2,39,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,5,5,4,5
93,forest,SD,unprotected,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,2,1,1
94,forest,ND,unprotected,0,1,2,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,1,0,0,0,3,2,2,2,3
95,forest,WY,unprotected,0,0,0,2,2,0,0,6,1,0,5,2,2,2,2,0,2,6,1,1,0,0,0,0,0,5,8,4,4,4
96,forest,MT,protected,0,0,0,0,0,1,1,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,6,3,2,2
97,forest,WY,unprotected,3,1,0,0,0,1,0,0,1,0,3,1,0,7,0,3,1,0,1,0,0,0,0,0,0,1,1,1,1,1
98,forest,WY,unprotected,0,0,1,0,0,0,0,8,2,0,0,0,1,0,0,1,0,8,3,0,0,0,0,0,0,5,4,3,2,2
99,forest,MT,unprotected,15,0,0,0,1,0,0,0,1,1,15,0,0,0,1,0,0,1,1,2,0,0,0,0,0,9,2,1,1,2
100,forest,WY,unprotected,0,1,0,0,0,1,0,0,14,0,0,1,10,0,0,2,1,0,15,1,0,0,0,0,0,3,3,4,3,3
101,forest,ND,unprotected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
